1ht5B1.pdb1	1ht5A1.pdb1	2479.8
1htvL1.pdb1	1htvD1.pdb1	31.85
1htvL1.pdb1	1htvK1.pdb1	680.7
1htvE1.pdb1	1htvH1.pdb1	53.2
1htvE1.pdb1	1htvK1.pdb1	85.45
1htvJ1.pdb1	1htvI1.pdb1	763.85
1htvJ1.pdb1	1htvD1.pdb1	519.5
1htvJ1.pdb1	1htvK1.pdb1	37.1
1htvH1.pdb1	1htvG1.pdb1	749.05
1htvI1.pdb1	1htvC1.pdb1	34.4
1htvI1.pdb1	1htvD1.pdb1	94.3
1htvC1.pdb1	1htvD1.pdb1	735.85
6ht6A1.pdb1	6ht6B1.pdb1	961.4
1htqE1.pdb1	1htqF1.pdb1	1856.0
1htqE1.pdb1	1htqL1.pdb1	400.85
1htqE1.pdb1	1htqK1.pdb1	2860.8
1htqE1.pdb1	1htqD1.pdb1	1898.7
1htqH1.pdb1	1htqB1.pdb1	2873.15
1htqH1.pdb1	1htqA1.pdb1	390.55
1htqH1.pdb1	1htqG1.pdb1	1871.25
1htqH1.pdb1	1htqI1.pdb1	1889.8
1htqF1.pdb1	1htqA1.pdb1	1903.9
1htqF1.pdb1	1htqL1.pdb1	2883.8
1htqF1.pdb1	1htqG1.pdb1	394.65
1htqB1.pdb1	1htqA1.pdb1	1878.45
1htqB1.pdb1	1htqC1.pdb1	1865.45
1htqB1.pdb1	1htqI1.pdb1	402.4
1htqA1.pdb1	1htqG1.pdb1	2856.95
1htqL1.pdb1	1htqG1.pdb1	1922.9
1htqL1.pdb1	1htqK1.pdb1	1861.2
1htqC1.pdb1	1htqI1.pdb1	2875.25
1htqC1.pdb1	1htqD1.pdb1	1864.4
1htqC1.pdb1	1htqJ1.pdb1	391.45
1htqI1.pdb1	1htqJ1.pdb1	1871.95
1htqK1.pdb1	1htqD1.pdb1	381.1
1htqK1.pdb1	1htqJ1.pdb1	1891.65
1htqD1.pdb1	1htqJ1.pdb1	2844.35
6htkB1.pdb2	6htkB2.pdb2	1056.8
2htkF1.pdb1	2htkB1.pdb1	141.1
2htkF1.pdb1	2htkE1.pdb1	1862.05
2htkF1.pdb1	2htkA1.pdb1	51.95
2htkB1.pdb1	2htkE1.pdb1	463.3
2htkB1.pdb1	2htkC1.pdb1	134.7
2htkB1.pdb1	2htkD1.pdb1	35.2
2htkB1.pdb1	2htkA1.pdb1	3531.55
2htkE1.pdb1	2htkA1.pdb1	141.15
2htkC1.pdb1	2htkD1.pdb1	1878.6
2htkC1.pdb1	2htkA1.pdb1	458.85
2htkD1.pdb1	2htkA1.pdb1	141.45
2hthB1.pdb1	2hthA1.pdb1	517.0
3htpB3.pdb1	3htpA2.pdb1	307.95
3htpB3.pdb1	3htpA1.pdb1	418.35
3htpB3.pdb1	3htpB2.pdb1	1289.95
