3c21A3.pdb1	3c21A1.pdb1	1181.85
3c21A3.pdb1	3c21B3.pdb1	419.25
3c21A4.pdb1	3c21A2.pdb1	1181.85
3c21A4.pdb1	3c21B2.pdb1	475.95
3c21A4.pdb1	3c21B4.pdb1	419.25
3c21A4.pdb1	3c21A1.pdb1	1181.85
3c21A2.pdb1	3c21B2.pdb1	419.25
3c21A2.pdb1	3c21B3.pdb1	476.0
3c21B2.pdb1	3c21B4.pdb1	1162.35
3c21B2.pdb1	3c21B3.pdb1	1162.35
3c21B4.pdb1	3c21B1.pdb1	1162.35
3c21B4.pdb1	3c21A1.pdb1	475.95
3c21B1.pdb1	3c21A1.pdb1	419.25
3c21B1.pdb1	3c21B3.pdb1	1162.35
2c2zC1.pdb1	2c2zB1.pdb1	272.5
2c2zC1.pdb1	2c2zA1.pdb1	113.7
2c2zB1.pdb1	2c2zA2.pdb1	463.5
2c2zB1.pdb1	2c2zA1.pdb1	2187.45
2c2zB1.pdb1	2c2zB2.pdb1	1251.35
2c2zA2.pdb1	2c2zA1.pdb1	308.1
2c2zA2.pdb1	2c2zB2.pdb1	2187.4
2c2zA2.pdb1	2c2zC2.pdb1	113.7
2c2zA1.pdb1	2c2zB2.pdb1	463.5
2c2zB2.pdb1	2c2zC2.pdb1	272.45
3c2gD1.pdb2	3c2gB1.pdb2	599.7
3c28C1.pdb1	3c28B1.pdb1	1543.05
3c28C1.pdb1	3c28D1.pdb1	1537.35
3c28C1.pdb1	3c28A1.pdb1	1051.3
3c28C2.pdb1	3c28D2.pdb1	1537.35
3c28C2.pdb1	3c28B2.pdb1	1543.05
3c28C2.pdb1	3c28A2.pdb1	1051.3
3c28B1.pdb1	3c28D1.pdb1	1401.65
3c28B1.pdb1	3c28A1.pdb1	1202.9
3c28B1.pdb1	3c28D2.pdb1	2.65
3c28B1.pdb1	3c28A2.pdb1	1642.75
3c28D1.pdb1	3c28A1.pdb1	1283.55
3c28D1.pdb1	3c28B2.pdb1	2.65
3c28D1.pdb1	3c28A2.pdb1	69.55
3c28A1.pdb1	3c28D2.pdb1	69.55
3c28A1.pdb1	3c28B2.pdb1	1642.75
3c28D2.pdb1	3c28B2.pdb1	1401.65
3c28D2.pdb1	3c28A2.pdb1	1283.55
3c28B2.pdb1	3c28A2.pdb1	1202.9
2c2eT1.pdb1	2c2eP1.pdb1	624.25
2c2eT1.pdb1	2c2eA1.pdb1	796.7
2c2eP1.pdb1	2c2eA1.pdb1	685.3
3c2tA1.pdb1	3c2tA3.pdb1	1272.3
3c2tA1.pdb1	3c2tA2.pdb1	1274.2
