1utzB1.pdb1	1utzB3.pdb1	361.5
1utzB1.pdb1	1utzB2.pdb1	361.45
1utzB1.pdb1	1utzA3.pdb1	1.65
1utzA2.pdb1	1utzB3.pdb1	1.6
1utzA2.pdb1	1utzB2.pdb1	398.75
1utzA2.pdb1	1utzA3.pdb1	298.05
1utzB3.pdb1	1utzB2.pdb1	361.5
1utzB3.pdb1	1utzA3.pdb1	398.8
1utzB2.pdb1	1utzA3.pdb1	130.45
5utuG1.pdb2	5utuF1.pdb2	1871.25
5utuG1.pdb2	5utuH1.pdb2	3093.85
5utuG1.pdb2	5utuE1.pdb2	423.85
5utuF1.pdb2	5utuH1.pdb2	418.0
5utuF1.pdb2	5utuE1.pdb2	3094.8
5utuH1.pdb2	5utuE1.pdb2	1848.25
2utgB1.pdb1	2utgA1.pdb1	1506.35
3ut2A1.pdb1	3ut2B1.pdb1	4861.25
1utxB1.pdb1	1utxA1.pdb1	802.8
5utxA1.pdb1	5utxB1.pdb1	1770.8
5utzL1.pdb1	5utzD1.pdb1	347.35
5utzL1.pdb1	5utzH1.pdb1	1643.3
5utzD1.pdb1	5utzH1.pdb1	616.85
5utzE1.pdb3	5utzF1.pdb3	610.35
5utzE1.pdb3	5utzG1.pdb3	339.55
5utzF1.pdb3	5utzG1.pdb3	1597.0
4utuA1.pdb1	4utuB1.pdb1	1617.65
5utuB1.pdb1	5utuD1.pdb1	415.95
5utuB1.pdb1	5utuC1.pdb1	1835.65
5utuB1.pdb1	5utuA1.pdb1	3117.4
5utuD1.pdb1	5utuC1.pdb1	3126.05
5utuD1.pdb1	5utuA1.pdb1	1899.2
5utuC1.pdb1	5utuA1.pdb1	422.5
4uttC1.pdb3	4uttB2.pdb3	1621.05
5utkA1.pdb1	5utkB1.pdb1	487.3
3utaF1.pdb1	3utaE1.pdb1	2553.85
3utaF1.pdb1	3utaJ1.pdb1	295.7
3utaF1.pdb1	3utaD1.pdb1	246.8
3utaF1.pdb1	3utaH1.pdb1	476.35
3utaF1.pdb1	3utaI1.pdb1	360.65
3utaF1.pdb1	3utaG1.pdb1	2.75
3utaF1.pdb1	3utaC1.pdb1	419.45
3utaA1.pdb1	3utaE1.pdb1	619.2
3utaA1.pdb1	3utaJ1.pdb1	815.0
3utaA1.pdb1	3utaB1.pdb1	2489.7
3utaA1.pdb1	3utaI1.pdb1	744.3
3utaA1.pdb1	3utaG1.pdb1	711.1
3utaA1.pdb1	3utaC1.pdb1	24.4
3utaE1.pdb1	3utaJ1.pdb1	734.45
3utaE1.pdb1	3utaI1.pdb1	796.15
3utaE1.pdb1	3utaG1.pdb1	57.55
3utaE1.pdb1	3utaC1.pdb1	691.55
3utaJ1.pdb1	3utaB1.pdb1	398.4
3utaJ1.pdb1	3utaD1.pdb1	337.4
3utaJ1.pdb1	3utaH1.pdb1	443.0
3utaJ1.pdb1	3utaI1.pdb1	6546.85
3utaJ1.pdb1	3utaG1.pdb1	391.8
3utaJ1.pdb1	3utaC1.pdb1	469.55
3utaB1.pdb1	3utaD1.pdb1	493.85
3utaB1.pdb1	3utaH1.pdb1	294.8
3utaB1.pdb1	3utaI1.pdb1	268.3
3utaB1.pdb1	3utaG1.pdb1	417.1
3utaB1.pdb1	3utaC1.pdb1	7.95
3utaD1.pdb1	3utaH1.pdb1	5.6
