4gh5B1.pdb1	4gh5C1.pdb1	242.8
4gh5B1.pdb1	4gh5D1.pdb1	1359.55
4gh5C1.pdb1	4gh5D1.pdb1	1383.75
4ghpA2.pdb1	4ghpA1.pdb1	493.8
2ghwA1.pdb1	2ghwB1.pdb1	1148.0
2ghvC1.pdb1	2ghvE1.pdb1	1021.3
2ghjD1.pdb3	2ghjE1.pdb3	349.25
2ghjD1.pdb3	2ghjA1.pdb3	1354.15
2ghjD1.pdb3	2ghjB1.pdb3	439.35
2ghjE1.pdb3	2ghjA1.pdb3	451.25
2ghjE1.pdb3	2ghjB1.pdb3	1494.45
2ghjA1.pdb3	2ghjB1.pdb3	368.9
2ghjA1.pdb5	2ghjE1.pdb5	451.25
3gh1A1.pdb1	3gh1C1.pdb1	1106.5
3gh1A1.pdb1	3gh1D1.pdb1	1241.6
3gh1C1.pdb1	3gh1B1.pdb1	1220.65
3gh1B1.pdb1	3gh1D1.pdb1	1095.9
6ghbC1.pdb2	6ghbD1.pdb2	1570.4
1gh0B1.pdb3	1gh0K1.pdb3	201.5
1gh0B1.pdb3	1gh0E1.pdb3	584.15
1gh0B1.pdb3	1gh0A1.pdb3	1569.95
1gh0B1.pdb3	1gh0F1.pdb3	113.6
1gh0B1.pdb3	1gh0D1.pdb3	116.9
1gh0P1.pdb3	1gh0U1.pdb3	212.5
1gh0P1.pdb3	1gh0N1.pdb3	112.5
1gh0P1.pdb3	1gh0O1.pdb3	1550.0
1gh0P1.pdb3	1gh0R1.pdb3	117.05
1gh0P1.pdb3	1gh0M1.pdb3	558.9
1gh0P1.pdb3	1gh0C1.pdb3	102.05
1gh0U1.pdb3	1gh0O1.pdb3	962.2
1gh0U1.pdb3	1gh0X1.pdb3	524.8
1gh0U1.pdb3	1gh0V1.pdb3	1568.0
1gh0U1.pdb3	1gh0M1.pdb3	480.35
1gh0U1.pdb3	1gh0J1.pdb3	161.35
1gh0Q1.pdb3	1gh0N1.pdb3	551.25
1gh0Q1.pdb3	1gh0T1.pdb3	217.65
1gh0Q1.pdb3	1gh0W1.pdb3	482.2
1gh0Q1.pdb3	1gh0R1.pdb3	1580.35
1gh0Q1.pdb3	1gh0S1.pdb3	965.65
1gh0N1.pdb3	1gh0W1.pdb3	216.1
1gh0N1.pdb3	1gh0R1.pdb3	113.25
1gh0N1.pdb3	1gh0M1.pdb3	1575.2
1gh0T1.pdb3	1gh0W1.pdb3	539.5
1gh0T1.pdb3	1gh0X1.pdb3	118.55
1gh0T1.pdb3	1gh0V1.pdb3	115.4
1gh0T1.pdb3	1gh0S1.pdb3	1569.45
1gh0K1.pdb3	1gh0E1.pdb3	470.6
1gh0K1.pdb3	1gh0A1.pdb3	969.25
1gh0K1.pdb3	1gh0L1.pdb3	1581.95
1gh0K1.pdb3	1gh0H1.pdb3	555.1
1gh0O1.pdb3	1gh0V1.pdb3	220.05
1gh0O1.pdb3	1gh0R1.pdb3	537.7
1gh0O1.pdb3	1gh0S1.pdb3	500.1
1gh0O1.pdb3	1gh0C1.pdb3	5.5
1gh0O1.pdb3	1gh0I1.pdb3	34.2
1gh0O1.pdb3	1gh0D1.pdb3	18.55
1gh0E1.pdb3	1gh0G1.pdb3	960.95
1gh0E1.pdb3	1gh0F1.pdb3	1564.95
1gh0E1.pdb3	1gh0H1.pdb3	208.8
1gh0W1.pdb3	1gh0X1.pdb3	1575.6
1gh0W1.pdb3	1gh0M1.pdb3	979.3
1gh0X1.pdb3	1gh0V1.pdb3	115.1
1gh0X1.pdb3	1gh0M1.pdb3	207.0
1gh0V1.pdb3	1gh0S1.pdb3	593.25
1gh0V1.pdb3	1gh0J1.pdb3	155.75
1gh0R1.pdb3	1gh0S1.pdb3	201.65
1gh0A1.pdb3	1gh0I1.pdb3	501.45
1gh0A1.pdb3	1gh0L1.pdb3	215.85
1gh0A1.pdb3	1gh0D1.pdb3	572.55
1gh0C1.pdb3	1gh0G1.pdb3	462.9
1gh0C1.pdb3	1gh0I1.pdb3	976.55
1gh0C1.pdb3	1gh0J1.pdb3	199.4
1gh0C1.pdb3	1gh0F1.pdb3	535.55
1gh0C1.pdb3	1gh0D1.pdb3	1584.0
1gh0G1.pdb3	1gh0J1.pdb3	580.25
1gh0G1.pdb3	1gh0F1.pdb3	205.0
1gh0G1.pdb3	1gh0H1.pdb3	1557.2
1gh0I1.pdb3	1gh0J1.pdb3	1550.1
1gh0I1.pdb3	1gh0L1.pdb3	609.9
1gh0I1.pdb3	1gh0D1.pdb3	213.9
1gh0J1.pdb3	1gh0L1.pdb3	114.35
1gh0J1.pdb3	1gh0H1.pdb3	113.9
1gh0L1.pdb3	1gh0H1.pdb3	116.4
1gh0F1.pdb3	1gh0D1.pdb3	117.45
5ghfA1.pdb1	5ghfB1.pdb1	3961.65
3ghyA1.pdb3	3ghyB1.pdb3	1061.65
5ghaB1.pdb1	5ghaF1.pdb1	984.55
5ghaB1.pdb1	5ghaA1.pdb1	1234.2
5ghaE1.pdb1	5ghaA1.pdb1	991.2
2ghjA1.pdb1	2ghjD1.pdb1	1354.15
6ghpP2.pdb1	6ghpA2.pdb1	450.85
6ghpA2.pdb1	6ghpA1.pdb1	1050.2
6ghpP1.pdb1	6ghpA1.pdb1	450.85
4ghdD1.pdb1	4ghdB1.pdb1	1638.8
4ghdD1.pdb1	4ghdC1.pdb1	1611.05
4ghdD1.pdb1	4ghdA1.pdb1	507.5
4ghdB1.pdb1	4ghdC1.pdb1	508.6
4ghdB1.pdb1	4ghdA1.pdb1	1636.0
4ghdC1.pdb1	4ghdA1.pdb1	1292.7
6ghbA1.pdb1	6ghbB1.pdb1	1469.9
3gh8F1.pdb3	3gh8E1.pdb3	5032.8
3gh6A2.pdb1	3gh6A1.pdb1	1422.25
1gh0O1.pdb2	1gh0S1.pdb2	500.1
1gh0O1.pdb2	1gh0V1.pdb2	220.05
1gh0O1.pdb2	1gh0P1.pdb2	1550.0
1gh0O1.pdb2	1gh0R1.pdb2	537.7
1gh0O1.pdb2	1gh0U1.pdb2	962.25
1gh0W1.pdb2	1gh0M1.pdb2	979.3
1gh0W1.pdb2	1gh0N1.pdb2	216.1
1gh0W1.pdb2	1gh0Q1.pdb2	482.2
1gh0W1.pdb2	1gh0X1.pdb2	1575.6
1gh0W1.pdb2	1gh0T1.pdb2	539.5
1gh0S1.pdb2	1gh0Q1.pdb2	965.65
1gh0S1.pdb2	1gh0V1.pdb2	593.25
1gh0S1.pdb2	1gh0T1.pdb2	1569.45
1gh0S1.pdb2	1gh0R1.pdb2	201.65
1gh0M1.pdb2	1gh0N1.pdb2	1575.2
1gh0M1.pdb2	1gh0X1.pdb2	206.95
1gh0M1.pdb2	1gh0P1.pdb2	558.9
1gh0M1.pdb2	1gh0U1.pdb2	480.35
1gh0N1.pdb2	1gh0Q1.pdb2	551.25
1gh0N1.pdb2	1gh0P1.pdb2	112.5
1gh0N1.pdb2	1gh0R1.pdb2	113.25
1gh0Q1.pdb2	1gh0T1.pdb2	217.65
1gh0Q1.pdb2	1gh0R1.pdb2	1580.35
1gh0V1.pdb2	1gh0X1.pdb2	115.1
1gh0V1.pdb2	1gh0T1.pdb2	115.4
1gh0V1.pdb2	1gh0U1.pdb2	1568.0
1gh0X1.pdb2	1gh0T1.pdb2	118.55
1gh0X1.pdb2	1gh0U1.pdb2	524.8
1gh0P1.pdb2	1gh0R1.pdb2	117.05
1gh0P1.pdb2	1gh0U1.pdb2	212.5
1ghyH1.pdb1	1ghyL1.pdb1	1357.9
1ghyH1.pdb1	1ghyI1.pdb1	562.0
6gh1D1.pdb1	6gh1C1.pdb1	1330.35
6gh1C1.pdb1	6gh1Q1.pdb1	849.2
6ghcA1.pdb1	6ghcB1.pdb1	3337.3
4ghuA2.pdb1	4ghuA3.pdb1	1257.25
4ghuA2.pdb1	4ghuA1.pdb1	1257.3
4ghuA2.pdb1	4ghuB2.pdb1	761.8
4ghuA3.pdb1	4ghuA1.pdb1	1257.25
4ghuA3.pdb1	4ghuB3.pdb1	761.8
4ghuA1.pdb1	4ghuB1.pdb1	761.8
