6j9cF1.pdb2	6j9cE1.pdb2	629.95
6j9cD1.pdb2	6j9cE1.pdb2	436.5
4j9hC1.pdb3	4j9hL1.pdb3	478.4
2j98A1.pdb1	2j98B1.pdb1	639.3
5j9cB1.pdb1	5j9cA1.pdb1	727.5
1j9hB1.pdb1	1j9hA1.pdb1	466.5
4j9hB1.pdb2	4j9hH1.pdb2	480.55
1j9qA1.pdb1	1j9qB1.pdb1	2061.15
1j9qA1.pdb1	1j9qC1.pdb1	2057.9
1j9qB1.pdb1	1j9qC1.pdb1	2061.15
3j9uV1.pdb1	3j9uU1.pdb1	1636.05
3j9uV1.pdb1	3j9uQ1.pdb1	1.4
3j9uV1.pdb1	3j9uW1.pdb1	1734.25
3j9uP1.pdb1	3j9uL1.pdb1	102.1
3j9uP1.pdb1	3j9uK1.pdb1	872.2
3j9uP1.pdb1	3j9ub1.pdb1	1664.85
3j9uO1.pdb1	3j9uI1.pdb1	513.1
3j9uO1.pdb1	3j9uG1.pdb1	597.45
3j9uO1.pdb1	3j9uQ1.pdb1	307.35
3j9uO1.pdb1	3j9uH1.pdb1	551.3
3j9uO1.pdb1	3j9uW1.pdb1	21.9
3j9uO1.pdb1	3j9ub1.pdb1	846.95
3j9ua1.pdb1	3j9uR1.pdb1	1718.05
3j9ua1.pdb1	3j9uZ1.pdb1	1586.4
3j9ua1.pdb1	3j9uQ1.pdb1	631.6
3j9uA1.pdb1	3j9uF1.pdb1	1977.0
3j9uA1.pdb1	3j9uB1.pdb1	3857.35
3j9uA1.pdb1	3j9uM1.pdb1	576.6
3j9uR1.pdb1	3j9uS1.pdb1	1755.3
3j9uR1.pdb1	3j9uQ1.pdb1	414.55
3j9uS1.pdb1	3j9uQ1.pdb1	289.2
3j9uS1.pdb1	3j9uT1.pdb1	1711.45
3j9uZ1.pdb1	3j9uQ1.pdb1	542.95
3j9uZ1.pdb1	3j9uY1.pdb1	1597.05
3j9uN1.pdb1	3j9uC1.pdb1	73.25
3j9uN1.pdb1	3j9uQ1.pdb1	68.15
3j9uN1.pdb1	3j9uB1.pdb1	44.15
3j9uN1.pdb1	3j9uM1.pdb1	2245.5
3j9uC1.pdb1	3j9uD1.pdb1	2447.1
3j9uC1.pdb1	3j9uB1.pdb1	1707.65
3j9uC1.pdb1	3j9uM1.pdb1	305.95
3j9uE1.pdb1	3j9uF1.pdb1	3215.8
3j9uE1.pdb1	3j9uD1.pdb1	2486.3
3j9uE1.pdb1	3j9uM1.pdb1	707.45
3j9uU1.pdb1	3j9uT1.pdb1	1724.25
3j9uI1.pdb1	3j9uJ1.pdb1	2881.95
3j9uI1.pdb1	3j9ub1.pdb1	476.0
3j9uI1.pdb1	3j9uB1.pdb1	1122.7
3j9uF1.pdb1	3j9uG1.pdb1	1297.9
3j9uF1.pdb1	3j9uM1.pdb1	525.2
3j9uG1.pdb1	3j9uH1.pdb1	2752.2
3j9uQ1.pdb1	3j9uY1.pdb1	196.6
3j9uQ1.pdb1	3j9uW1.pdb1	62.55
3j9uQ1.pdb1	3j9uX1.pdb1	6.45
3j9uQ1.pdb1	3j9uT1.pdb1	130.0
3j9uQ1.pdb1	3j9ub1.pdb1	2.4
3j9uQ1.pdb1	3j9uM1.pdb1	1883.7
3j9uY1.pdb1	3j9uX1.pdb1	1869.65
3j9uL1.pdb1	3j9uK1.pdb1	2930.0
3j9uL1.pdb1	3j9ub1.pdb1	403.2
3j9uW1.pdb1	3j9uX1.pdb1	1613.15
3j9uJ1.pdb1	3j9ub1.pdb1	381.4
3j9uK1.pdb1	3j9uD1.pdb1	1393.65
3j9uK1.pdb1	3j9ub1.pdb1	415.0
3j9uD1.pdb1	3j9uM1.pdb1	804.5
3j9uB1.pdb1	3j9uM1.pdb1	564.2
6j9lE1.pdb1	6j9lA1.pdb1	441.1
6j9lE1.pdb1	6j9lB1.pdb1	507.0
6j9lA1.pdb1	6j9lB1.pdb1	1390.4
1j9hD1.pdb2	1j9hC1.pdb2	466.1
6j9cA1.pdb1	6j9cB1.pdb1	378.05
6j9cA1.pdb1	6j9cC1.pdb1	500.3
6j9cB1.pdb1	6j9cC1.pdb1	595.0
5j97B1.pdb1	5j97A1.pdb1	1248.5
3j94C1.pdb1	3j94B1.pdb1	2625.75
3j94C1.pdb1	3j94D1.pdb1	2669.1
3j94F1.pdb1	3j94A1.pdb1	1551.7
3j94F1.pdb1	3j94E1.pdb1	1994.9
3j94B1.pdb1	3j94A1.pdb1	2438.9
3j94E1.pdb1	3j94D1.pdb1	2390.4
6j9mE1.pdb2	6j9mB1.pdb2	1317.9
6j9mE1.pdb2	6j9mF1.pdb2	565.4
6j9mB1.pdb2	6j9mF1.pdb2	729.65
6j9uC1.pdb2	6j9uF1.pdb2	963.6
6j9uC1.pdb2	6j9uE1.pdb2	2022.85
6j9uC1.pdb2	6j9uD1.pdb2	1094.25
6j9uF1.pdb2	6j9uE1.pdb2	1045.45
6j9uF1.pdb2	6j9uD1.pdb2	2028.55
6j9uE1.pdb2	6j9uD1.pdb2	983.75
4j9kP1.pdb1	4j9kA1.pdb1	618.6
4j9kP1.pdb1	4j9kT1.pdb1	377.75
4j9kA1.pdb1	4j9kT1.pdb1	1053.9
6j99F1.pdb1	6j99C1.pdb1	421.85
6j99F1.pdb1	6j99I1.pdb1	347.0
6j99F1.pdb1	6j99D1.pdb1	316.05
6j99F1.pdb1	6j99J1.pdb1	243.55
6j99F1.pdb1	6j99E1.pdb1	2465.45
6j99F1.pdb1	6j99H1.pdb1	543.75
6j99K1.pdb1	6j99C1.pdb1	196.8
6j99K1.pdb1	6j99A1.pdb1	246.9
6j99K1.pdb1	6j99D1.pdb1	649.75
6j99K1.pdb1	6j99L1.pdb1	543.6
6j99K1.pdb1	6j99J1.pdb1	18.25
6j99K1.pdb1	6j99B1.pdb1	525.75
6j99C1.pdb1	6j99I1.pdb1	449.2
6j99C1.pdb1	6j99A1.pdb1	17.7
6j99C1.pdb1	6j99D1.pdb1	2471.25
6j99C1.pdb1	6j99J1.pdb1	473.8
6j99C1.pdb1	6j99E1.pdb1	732.35
6j99C1.pdb1	6j99B1.pdb1	14.5
6j99C1.pdb1	6j99H1.pdb1	61.55
6j99C1.pdb1	6j99G1.pdb1	140.2
6j99I1.pdb1	6j99A1.pdb1	684.5
6j99I1.pdb1	6j99D1.pdb1	434.75
6j99I1.pdb1	6j99J1.pdb1	6498.9
6j99I1.pdb1	6j99E1.pdb1	761.25
6j99I1.pdb1	6j99B1.pdb1	348.85
6j99I1.pdb1	6j99H1.pdb1	325.8
6j99I1.pdb1	6j99G1.pdb1	537.25
6j99A1.pdb1	6j99J1.pdb1	690.8
6j99A1.pdb1	6j99E1.pdb1	571.3
6j99A1.pdb1	6j99B1.pdb1	2523.15
6j99A1.pdb1	6j99G1.pdb1	729.65
6j99D1.pdb1	6j99L1.pdb1	32.75
6j99D1.pdb1	6j99J1.pdb1	394.85
6j99D1.pdb1	6j99B1.pdb1	557.55
6j99D1.pdb1	6j99H1.pdb1	85.75
6j99D1.pdb1	6j99G1.pdb1	59.5
6j99J1.pdb1	6j99E1.pdb1	716.3
6j99J1.pdb1	6j99B1.pdb1	362.15
6j99J1.pdb1	6j99H1.pdb1	411.45
6j99J1.pdb1	6j99G1.pdb1	427.7
6j99E1.pdb1	6j99G1.pdb1	43.85
6j99B1.pdb1	6j99H1.pdb1	298.85
6j99B1.pdb1	6j99G1.pdb1	452.65
6j99H1.pdb1	6j99G1.pdb1	2461.65
4j9hA1.pdb1	4j9hG1.pdb1	473.7
4j96B1.pdb3	4j96A1.pdb3	1620.4
2j91B1.pdb1	2j91C1.pdb1	2464.35
2j91B1.pdb1	2j91D1.pdb1	1867.45
2j91B1.pdb1	2j91A1.pdb1	3671.6
2j91C1.pdb1	2j91D1.pdb1	3637.15
2j91C1.pdb1	2j91A1.pdb1	1787.75
2j91D1.pdb1	2j91A1.pdb1	2483.4
5j93A12.pdb1	5j93A7.pdb1	678.15
5j93A12.pdb1	5j93A2.pdb1	677.05
5j93A12.pdb1	5j93A11.pdb1	41.05
5j93A12.pdb1	5j93A20.pdb1	570.15
5j93A12.pdb1	5j93A15.pdb1	1356.6
5j93A12.pdb1	5j93A19.pdb1	566.2
5j93A6.pdb1	5j93A21.pdb1	570.15
5j93A6.pdb1	5j93A11.pdb1	678.15
5j93A6.pdb1	5j93A20.pdb1	1352.8
5j93A6.pdb1	5j93A22.pdb1	566.2
5j93A6.pdb1	5j93A5.pdb1	40.8
5j93A6.pdb1	5j93A4.pdb1	675.9
5j93A7.pdb1	5j93A2.pdb1	675.9
5j93A7.pdb1	5j93A24.pdb1	566.2
5j93A7.pdb1	5j93A23.pdb1	570.15
5j93A7.pdb1	5j93A8.pdb1	40.8
5j93A7.pdb1	5j93A19.pdb1	1352.8
5j93A21.pdb1	5j93A22.pdb1	41.05
5j93A21.pdb1	5j93A17.pdb1	678.15
5j93A21.pdb1	5j93A13.pdb1	677.05
5j93A21.pdb1	5j93A5.pdb1	566.2
5j93A21.pdb1	5j93A4.pdb1	1356.6
5j93A2.pdb1	5j93A1.pdb1	40.5
5j93A2.pdb1	5j93A15.pdb1	569.75
5j93A2.pdb1	5j93A23.pdb1	1356.6
5j93A2.pdb1	5j93A16.pdb1	569.75
5j93A1.pdb1	5j93A22.pdb1	1356.6
5j93A1.pdb1	5j93A9.pdb1	677.05
5j93A1.pdb1	5j93A15.pdb1	569.75
5j93A1.pdb1	5j93A16.pdb1	569.75
5j93A1.pdb1	5j93A5.pdb1	675.9
5j93A24.pdb1	5j93A14.pdb1	677.05
