4xd9A1.pdb1	4xd9B1.pdb1	2725.1
1xd2C1.pdb1	1xd2A1.pdb1	1571.1
5xd7A2.pdb1	5xd7A1.pdb1	1796.5
2xdcE1.pdb2	2xdcF1.pdb2	652.5
2xdqB2.pdb1	2xdqA2.pdb1	2587.55
2xdqB2.pdb1	2xdqB1.pdb1	1481.15
2xdqB2.pdb1	2xdqA1.pdb1	1108.45
2xdqA2.pdb1	2xdqB1.pdb1	1108.5
2xdqB1.pdb1	2xdqA1.pdb1	2587.65
4xdsC1.pdb1	4xdsD1.pdb1	2116.5
4xdsC1.pdb1	4xdsA1.pdb1	687.7
4xdsC1.pdb1	4xdsB1.pdb1	118.9
4xdsC1.pdb1	4xdsE1.pdb1	670.7
4xdsD1.pdb1	4xdsB1.pdb1	659.4
4xdsD1.pdb1	4xdsF1.pdb1	687.75
4xdsD1.pdb1	4xdsE1.pdb1	98.75
4xdsA1.pdb1	4xdsB1.pdb1	1775.8
4xdsA1.pdb1	4xdsF1.pdb1	84.1
4xdsA1.pdb1	4xdsE1.pdb1	736.95
4xdsB1.pdb1	4xdsF1.pdb1	660.1
4xdsF1.pdb1	4xdsE1.pdb1	2065.5
4xdwA1.pdb1	4xdwB1.pdb1	1484.05
1xdhC1.pdb1	1xdhA1.pdb1	406.7
1xdhC1.pdb1	1xdhB1.pdb1	39.75
1xdhA1.pdb1	1xdhB1.pdb1	1246.55
1xdhA1.pdb1	1xdhD1.pdb1	53.2
1xdhB1.pdb1	1xdhD1.pdb1	405.45
1xdmW1.pdb3	1xdmX1.pdb3	809.15
2xd9A3.pdb1	2xd9C3.pdb1	723.55
2xd9A3.pdb1	2xd9B3.pdb1	754.65
2xd9A3.pdb1	2xd9A4.pdb1	930.6
2xd9C3.pdb1	2xd9B3.pdb1	736.55
2xd9C3.pdb1	2xd9C2.pdb1	924.7
2xd9B3.pdb1	2xd9B1.pdb1	923.3
2xd9B4.pdb1	2xd9A4.pdb1	754.65
2xd9B4.pdb1	2xd9B2.pdb1	923.3
2xd9B4.pdb1	2xd9C4.pdb1	736.55
2xd9C2.pdb1	2xd9B2.pdb1	736.55
2xd9C2.pdb1	2xd9A2.pdb1	723.55
2xd9A4.pdb1	2xd9C4.pdb1	723.55
2xd9B2.pdb1	2xd9A2.pdb1	754.65
2xd9C4.pdb1	2xd9C1.pdb1	924.7
2xd9B1.pdb1	2xd9A1.pdb1	754.65
2xd9B1.pdb1	2xd9C1.pdb1	736.55
2xd9A2.pdb1	2xd9A1.pdb1	930.6
2xd9A1.pdb1	2xd9C1.pdb1	723.55
1xd3D1.pdb2	1xd3C1.pdb2	1084.9
4xdhB1.pdb1	4xdhA1.pdb1	2023.05
1xdpA1.pdb2	1xdpB2.pdb2	1442.6
1xdpA1.pdb2	1xdpB1.pdb2	1678.45
1xdpA1.pdb2	1xdpA2.pdb2	116.8
1xdpB2.pdb2	1xdpB1.pdb2	94.6
1xdpB2.pdb2	1xdpA2.pdb2	1678.45
1xdpB1.pdb2	1xdpA2.pdb2	1442.6
5xdbA1.pdb1	5xdbB1.pdb1	2235.55
5xdbA1.pdb1	5xdbD1.pdb1	1745.65
5xdbA1.pdb1	5xdbC1.pdb1	130.1
5xdbB1.pdb1	5xdbD1.pdb1	131.8
5xdbB1.pdb1	5xdbC1.pdb1	1750.3
5xdbD1.pdb1	5xdbC1.pdb1	2284.25
4xdvF1.pdb2	4xdvE1.pdb2	1443.35
2xdpA1.pdb1	2xdpA2.pdb1	2593.6
4xd9D1.pdb2	4xd9C1.pdb2	2657.95
4xd2A1.pdb1	4xd2B1.pdb1	1648.1
4xdwF1.pdb2	4xdwE1.pdb2	1374.1
1xdoB2.pdb2	1xdoA2.pdb2	1607.4
1xdoB2.pdb2	1xdoA1.pdb2	1457.05
1xdoB2.pdb2	1xdoB1.pdb2	123.5
1xdoA2.pdb2	1xdoA1.pdb2	144.4
1xdoA2.pdb2	1xdoB1.pdb2	1457.05
