3sqbA1.pdb1	3sqbB1.pdb1	1733.85
1sqqD1.pdb1	1sqqJ1.pdb1	867.95
1sqqJ2.pdb1	1sqqK2.pdb1	740.7
1sqqJ2.pdb1	1sqqD2.pdb1	867.95
1sqqF1.pdb1	1sqqK2.pdb1	247.55
1sqqD2.pdb1	1sqqH2.pdb1	1164.7
1sqqD2.pdb1	1sqqG2.pdb1	731.85
1sqqH2.pdb1	1sqqG2.pdb1	145.5
1sq6A2.pdb2	1sq6A1.pdb2	139.5
1sq6A2.pdb2	1sq6A5.pdb2	1131.3
1sq6A2.pdb2	1sq6A6.pdb2	1749.5
1sq6A2.pdb2	1sq6A3.pdb2	139.5
1sq6A4.pdb2	1sq6A1.pdb2	1749.6
1sq6A4.pdb2	1sq6A5.pdb2	139.5
1sq6A4.pdb2	1sq6A6.pdb2	139.5
1sq6A4.pdb2	1sq6A3.pdb2	1131.3
1sq6A1.pdb2	1sq6A6.pdb2	1131.3
1sq6A1.pdb2	1sq6A3.pdb2	139.5
1sq6A5.pdb2	1sq6A6.pdb2	139.5
1sq6A5.pdb2	1sq6A3.pdb2	1749.6
3sqgA1.pdb1	3sqgD1.pdb1	5983.1
3sqgA1.pdb1	3sqgF1.pdb1	627.65
