3upjB1.pdb1	3upjA1.pdb1	1666.05
3upqP1.pdb1	3upqA1.pdb1	367.85
3upqD1.pdb1	3upqA1.pdb1	366.95
3upmB1.pdb1	3upmA1.pdb1	1382.75
3upbB1.pdb1	3upbA1.pdb1	828.65
3up5A1.pdb3	3up5B1.pdb3	1019.05
1upkA1.pdb1	1upkB1.pdb1	403.35
4up0A1.pdb1	4up0F1.pdb1	344.2
7upjB1.pdb1	7upjA1.pdb1	1905.35
4upsA1.pdb1	4upsB1.pdb1	2726.2
5upkC1.pdb1	5upkA1.pdb1	1221.85
5upkC1.pdb1	5upkB1.pdb1	421.05
5upkA1.pdb1	5upkB1.pdb1	610.15
5uphA1.pdb1	5uphB1.pdb1	810.2
1upcF2.pdb2	1upcE1.pdb2	1032.9
1upcF2.pdb2	1upcF1.pdb2	213.0
1upcF2.pdb2	1upcE2.pdb2	3634.4
1upcE1.pdb2	1upcF1.pdb2	3634.4
1upcE1.pdb2	1upcE2.pdb2	216.7
1upcF1.pdb2	1upcE2.pdb2	1032.9
4upnB1.pdb1	4upnA1.pdb1	2618.9
3upuC1.pdb3	3upuF1.pdb3	1008.4
3upgA3.pdb1	3upgA1.pdb1	1325.0
3upgA3.pdb1	3upgA2.pdb1	1325.05
3upgA1.pdb1	3upgA2.pdb1	1325.0
5upsA1.pdb1	5upsB1.pdb1	1591.95
