1wvvA1.pdb2	1wvvA2.pdb2	410.0
1wvvA2.pdb2	1wvvB2.pdb2	976.9
4wvsA1.pdb1	4wvsB1.pdb1	225.1
1wvaA1.pdb1	1wvaA3.pdb1	695.1
1wvaA1.pdb1	1wvaA2.pdb1	695.1
1wvaA3.pdb1	1wvaA2.pdb1	695.05
4wv1D1.pdb1	4wv1E1.pdb1	1829.45
4wv1D1.pdb1	4wv1F1.pdb1	239.25
4wv1E1.pdb1	4wv1F1.pdb1	779.9
1wv7T1.pdb1	1wv7H1.pdb1	548.55
1wv7T1.pdb1	1wv7L1.pdb1	1314.4
1wv7H1.pdb1	1wv7L1.pdb1	975.3
3wvrB1.pdb2	3wvrC1.pdb2	1202.7
2wv0A1.pdb1	2wv0B1.pdb1	1749.9
4wvyB2.pdb2	4wvyA1.pdb2	2333.8
4wvyB2.pdb2	4wvyA5.pdb2	31.6
4wvyB2.pdb2	4wvyA4.pdb2	405.15
4wvyB2.pdb2	4wvyA2.pdb2	2315.6
4wvyB2.pdb2	4wvyB5.pdb2	767.95
4wvyB6.pdb2	4wvyB1.pdb2	768.0
4wvyB6.pdb2	4wvyA3.pdb2	405.1
4wvyB6.pdb2	4wvyA1.pdb2	31.55
4wvyB6.pdb2	4wvyA5.pdb2	2333.75
4wvyB6.pdb2	4wvyA6.pdb2	2315.55
4wvyB1.pdb2	4wvyA3.pdb2	2333.85
4wvyB1.pdb2	4wvyA1.pdb2	2315.6
4wvyB1.pdb2	4wvyA5.pdb2	405.15
4wvyB1.pdb2	4wvyA6.pdb2	31.55
4wvyA3.pdb2	4wvyB3.pdb2	2315.55
4wvyA3.pdb2	4wvyA6.pdb2	52.1
4wvyA3.pdb2	4wvyB4.pdb2	31.55
4wvyA1.pdb2	4wvyA5.pdb2	52.1
4wvyA1.pdb2	4wvyB5.pdb2	405.1
4wvyA5.pdb2	4wvyB5.pdb2	2315.55
4wvyA4.pdb2	4wvyB3.pdb2	31.6
4wvyA4.pdb2	4wvyA2.pdb2	52.1
4wvyA4.pdb2	4wvyB4.pdb2	2315.55
4wvyA4.pdb2	4wvyB5.pdb2	2333.75
4wvyB3.pdb2	4wvyA2.pdb2	2333.85
4wvyB3.pdb2	4wvyA6.pdb2	405.15
4wvyB3.pdb2	4wvyB4.pdb2	767.95
4wvyA2.pdb2	4wvyB4.pdb2	405.1
4wvyA2.pdb2	4wvyB5.pdb2	31.55
4wvyA6.pdb2	4wvyB4.pdb2	2333.75
2wvmA1.pdb1	2wvmB1.pdb1	1630.55
4wvbB3.pdb2	4wvbB2.pdb2	1156.45
4wvbB3.pdb2	4wvbB1.pdb2	1156.45
4wvbB2.pdb2	4wvbB1.pdb2	1156.5
4wvtD1.pdb2	4wvtB1.pdb2	298.8
5wvdB1.pdb1	5wvdA1.pdb1	1361.85
2wvwS1.pdb1	2wvwH1.pdb1	256.1
2wvwS1.pdb1	2wvwT1.pdb1	2279.2
2wvwS1.pdb1	2wvwA1.pdb1	551.55
2wvwQ1.pdb1	2wvwB1.pdb1	548.5
2wvwQ1.pdb1	2wvwC1.pdb1	255.0
2wvwQ1.pdb1	2wvwR1.pdb1	2279.2
2wvwH1.pdb1	2wvwG1.pdb1	467.4
2wvwH1.pdb1	2wvwW1.pdb1	530.15
2wvwH1.pdb1	2wvwF1.pdb1	441.9
2wvwH1.pdb1	2wvwX1.pdb1	225.4
2wvwH1.pdb1	2wvwC1.pdb1	466.45
2wvwH1.pdb1	2wvwT1.pdb1	355.5
2wvwH1.pdb1	2wvwA1.pdb1	4390.15
2wvwM1.pdb1	2wvwB1.pdb1	309.55
2wvwM1.pdb1	2wvwC1.pdb1	525.4
2wvwM1.pdb1	2wvwN1.pdb1	2279.2
2wvwO1.pdb1	2wvwE1.pdb1	273.35
2wvwO1.pdb1	2wvwP1.pdb1	2279.2
2wvwO1.pdb1	2wvwD1.pdb1	537.75
2wvwB1.pdb1	2wvwE1.pdb1	442.6
2wvwB1.pdb1	2wvwC1.pdb1	4385.55
2wvwB1.pdb1	2wvwA1.pdb1	458.45
2wvwB1.pdb1	2wvwD1.pdb1	468.8
2wvwB1.pdb1	2wvwN1.pdb1	330.9
2wvwB1.pdb1	2wvwR1.pdb1	240.35
2wvwE1.pdb1	2wvwG1.pdb1	456.75
2wvwE1.pdb1	2wvwP1.pdb1	349.35
2wvwE1.pdb1	2wvwC1.pdb1	471.25
2wvwE1.pdb1	2wvwK1.pdb1	524.85
2wvwE1.pdb1	2wvwD1.pdb1	4377.5
2wvwE1.pdb1	2wvwL1.pdb1	224.75
2wvwG1.pdb1	2wvwF1.pdb1	4384.1
2wvwG1.pdb1	2wvwI1.pdb1	528.75
2wvwG1.pdb1	2wvwV1.pdb1	352.8
2wvwG1.pdb1	2wvwU1.pdb1	273.2
2wvwG1.pdb1	2wvwD1.pdb1	435.55
2wvwG1.pdb1	2wvwJ1.pdb1	229.5
2wvwW1.pdb1	2wvwX1.pdb1	2273.7
2wvwW1.pdb1	2wvwA1.pdb1	298.7
2wvwP1.pdb1	2wvwD1.pdb1	234.5
2wvwF1.pdb1	2wvwI1.pdb1	277.2
2wvwF1.pdb1	2wvwV1.pdb1	234.45
2wvwF1.pdb1	2wvwU1.pdb1	539.7
2wvwF1.pdb1	2wvwA1.pdb1	469.95
2wvwF1.pdb1	2wvwD1.pdb1	457.4
2wvwF1.pdb1	2wvwJ1.pdb1	345.4
2wvwI1.pdb1	2wvwJ1.pdb1	2279.2
2wvwX1.pdb1	2wvwA1.pdb1	347.15
2wvwV1.pdb1	2wvwU1.pdb1	2279.2
2wvwC1.pdb1	2wvwA1.pdb1	432.15
2wvwC1.pdb1	2wvwN1.pdb1	221.2
2wvwC1.pdb1	2wvwR1.pdb1	345.15
2wvwT1.pdb1	2wvwA1.pdb1	241.65
